127.0.0.1 - - [06/Feb/2020:16:51:47 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:10 +0100] "GET /terminali HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:10 +0100] "GET /terminali/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:22 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:22 +0100] "GET /terminali/static/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:22 +0100] "GET /terminali/static/css/freelancer.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:42 +0100] "GET /terminali/static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:43 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:43 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32596
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:46 +0100] "POST /terminali/collegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:46 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32765
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:50 +0100] "POST /terminali/scollegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:50 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32765
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:53 +0100] "POST /terminali/scollegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:52:53 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:04 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:04 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:09 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:09 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:20 +0100] "POST /terminali/scollegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:20 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:50 +0100] "POST /terminali/scollegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:57:50 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:58:12 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:16:58:12 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32765
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:26 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:26 +0100] "GET /terminali/static/img/portfolio/cake.png HTTP/1.1" 200 17068
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:26 +0100] "GET /terminali/static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 56517
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:26 +0100] "GET /terminali/static/css/freelancer.min.css HTTP/1.1" 200 172644
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:27 +0100] "GET /terminali/static/js/freelancer.min.js HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:27 +0100] "GET /terminali/static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:27 +0100] "GET /terminali/static/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:27 +0100] "GET /terminali/static/js/index.js HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:28 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:41 +0100] "GET /terminali/static/vendor/fontawesome-free/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34394
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:41 +0100] "GET /terminali/static/vendor/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 192122
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:42 +0100] "GET /terminali/static/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:42 +0100] "GET /terminali/static/css/freelancer.min.css HTTP/1.1" 200 172644
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:49 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:49 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:00:51 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:01:17 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:01:17 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:49:19 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:58:54 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:00 +0100] "GET /terminali/static/vendor/fontawesome-free/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34394
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:00 +0100] "GET /terminali/static/vendor/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 192122
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:00 +0100] "GET /terminali/static/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:01 +0100] "GET /terminali/static/css/freelancer.min.css HTTP/1.1" 200 172644
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:21 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2020:17:59:21 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32413
